////////////////////////
/// COOKING RECIPES ///
///////////////////////

//Salt - 4568
//Pepper - 4570
//Sugar - 4572

//Dough - 956
//Egg - 874
//Milk - 868
//Flour - 4562
//Fish Chunk - 3468
//Bacon - 4586
//Tomato - 962
//Lettuce - 4564
//Rice - 3472
//Onion - 4602
//Chicken Meat - 4588
//Water - 822
//Honey - 3836
//Baking Chocolate - 4610
//Marshmallow - 4624
//Salsa - 4560
//Corn Meal - 4670
//Lemon - 4666
//Avocado - 4672
//Pineapple Slice - 4764
//Daiquiri - 3622 
//Cherry - 4766
//Gingerbread Dough - 5416
//Chocolate Sprinkles - 5376
//Ground Beef - 4580
//Coconut Milk - 7054

//ID/TYPE/INGREDIENT COUNT/INGREDIENTS|TIME/SPICE COUNT/SPICES
4592|COOK|5|4560|0|956|0|3468|26|664|48|4564|48|2|4568|4570
4594|COOK|5|4562|0|676|0|956|23|874|23|3836|23|3|4572|4572|4568
1474|COOK|4|956|0|874|0|4586|8|868|18|1|4568
4596|COOK|4|4562|0|874|0|868|26|196|39|2|4572|4572
4598|COOK|5|4580|0|956|6|4586|11|962|16|4564|16|3|4568|4570|4572
4600|COOK|5|540|0|4562|0|3428|0|868|80|3468|82|2|4568|4570
4604|COOK|4|3472|0|4602|30|4588|30|962|67|3|4568|4570|4570
3240|COOK|5|822|0|3836|0|4610|0|868|18|4624|40|3|4572|4572|4572
4674|COOK|5|4560|0|822|0|4670|0|4666|0|4672|0|2|4568|4568
4768|COOK|4|4764|0|956|21|3622|41|4766|69|2|4572|4572
5452|COOK|5|3836|0|5416|0|874|11|4610|24|5376|57|2|4572|4572
5984|COOK|5|874|0|4610|10|868|27|5376|44|4624|50|2|4572|4572
6046|COOK|5|4580|0|4586|16|962|36|4674|53|4666|53|2|4570|4568
6048|COOK|5|4580|0|4586|16|962|36|4674|53|4666|53|2|4570|4568
6050|COOK|5|4580|0|4586|16|962|36|4674|53|4666|53|2|4570|4568
6316|COOK|5|4764|0|4984|43|868|50|196|63|6314|0|2|4572|4572

//ID/TYPE/MATERIAL/COUNT
4580|GRIND|4578|1
4572|GRIND|954|100
4572|GRIND|3836|20
4572|GRIND|3406|10
4572|GRIND|3404|20
4570|GRIND|712|1
4570|GRIND|4584|100
4568|GRIND|4566|100
4564|GRIND|1004|50
4564|GRIND|192|50
4562|GRIND|880|50
4586|GRIND|326|50
4610|GRIND|2564|20
4610|GRIND|4422|20
4610|GRIND|2566|20
4670|GRIND|4668|50
4764|GRIND|2734|50
4984|GRIND|4982|100
5416|GRIND|5348|100
5416|GRIND|5352|100
5416|GRIND|5354|100
6314|GRIND|440|100
6958|GRIND|6956|1
6990|GRIND|6988|1
7054|GRIND|7050|20
6958|GRIND|6956|1
6974|GRIND|6972|5
6990|GRIND|6988|10
7004|GRIND|7002|12
7000|GRIND|6998|2
7014|GRIND|7012|1
