////////////////////
/////DNA RECIPES////
////////////////////

//ID/TYPE/DNAS

//A = 4082
//C = 4084
//G = 4086
//T = 4088
/////DINOS
//Red
3952|DNA|4082|4082|4082
3954|DNA|4084|4082|4082
3956|DNA|4086|4082|4082
3958|DNA|4088|4082|4082
3960|DNA|4802|4084|4082
3962|DNA|4084|4084|4082
3964|DNA|4086|4084|4082
3966|DNA|4088|4084|4082
3968|DNA|4082|4086|4082
3970|DNA|4084|4086|4082
3972|DNA|4086|4086|4082
3974|DNA|4088|4086|4082
3976|DNA|4082|4088|4082
3978|DNA|4084|4088|4082
3980|DNA|4086|4088|4082
3982|DNA|4088|4088|4082

//Green
3984|DNA|4082|4082|4084
3986|DNA|4084|4082|4084
3988|DNA|4086|4082|4084
3990|DNA|4088|4082|4084
3992|DNA|4082|4084|4084
3994|DNA|4084|4084|4084
3996|DNA|4086|4084|4084
3998|DNA|4088|4084|4084
4000|DNA|4082|4086|4084
4002|DNA|4084|4086|4084
4004|DNA|4086|4086|4084
4006|DNA|4088|4086|4084
4008|DNA|4082|4088|4084
4010|DNA|4084|4088|4084
4012|DNA|4086|4088|4084
4014|DNA|4088|4088|4084

//Brown
4016|DNA|4082|4082|4086
4018|DNA|4084|4082|4086
4020|DNA|4086|4082|4086
4022|DNA|4088|4082|4086
4024|DNA|4082|4084|4086
4026|DNA|4084|4084|4086
4028|DNA|4086|4084|4086
4030|DNA|4088|4084|4086
4032|DNA|4082|4086|4086
4034|DNA|4084|4086|4086
4036|DNA|4086|4086|4086
4038|DNA|4088|4086|4086
4040|DNA|4082|4088|4086
4042|DNA|4084|4088|4086
4044|DNA|4086|4088|4086
4046|DNA|4088|4088|4086

//Grey
4048|DNA|4082|4082|4088
4050|DNA|4084|4082|4088
4052|DNA|4086|4082|4088
4054|DNA|4088|4082|4088
4056|DNA|4082|4084|4088
4058|DNA|4084|4084|4088
4060|DNA|4086|4084|4088
4062|DNA|4088|4084|4088
4064|DNA|4082|4086|4088
4066|DNA|4084|4086|4088
4068|DNA|4086|4086|4088
4070|DNA|4088|4086|4088
4072|DNA|4082|4088|4088
4074|DNA|4084|4088|4088
4076|DNA|4086|4088|4088
4078|DNA|4088|4088|4088

//Plant X = 4090
//Plant Y = 4092
////PLANTS
4094|DNA|4090|4092|4092
4096|DNA|4090|4090|4092
4098|DNA|4090|4090|4090
4100|DNA|4092|4090|4090
4102|DNA|4092|4090|4092
4104|DNA|4090|4092|4090
4106|DNA|4092|4092|4092
4108|DNA|4092|4092|4090

//Raptor Alpha = 4120
//Raptor Omega = 4122
///RAPTORS
4112|DNA|4120|4082|4122
4114|DNA|4120|4084|4122
4116|DNA|4120|4086|4122
4118|DNA|4120|4088|4122
