///////////////////////////
///// MIXING RECIPES /////
//////////////////////////

//Item1|Count|Item2|Count|Item3|Count|Gives (Optional)

//Science
770|MIX|914|5|916|5|924|10
916|MIX|914|30|916|4|920|1
902|MIX|914|10|916|5|918|1|3
926|MIX|914|5|924|4|920|2|5
1114|MIX|914|6|924|3|920|4
978|MIX|914|15|920|4|918|2|4
1384|MIX|916|10|924|12|920|2
772|MIX|916|10|924|3|918|3
904|MIX|916|4|920|2|918|3
922|MIX|924|20|920|10|918|5

// Science & Mystery
1162|MIX|914|20|916|10|922|1
1746|MIX|914|10|920|2|922|1|5
1542|MIX|914|20|918|15|922|10
2588|MIX|920|8|924|4|922|1
1866|MIX|916|1|918|1|922|1|2
908|MIX|924|3|920|3|922|3
1310|MIX|924|4|918|3|922|1
910|MIX|920|200|918|200|922|200
4582|MIX|914|10|918|10|4444|10
4552|MIX|916|9|924|5|4444|1

// Leashes
2696|MIX|1052|1|2702|1|2684|20
1254|MIX|1052|1|1252|1|72|20
1760|MIX|1052|1|1180|1|816|20
1014|MIX|1004|200|1005|200|1048|200
4508|MIX|2038|200|4444|200|924|200
4514|MIX|1962|200|4444|200|914|200
4512|MIX|922|200|4444|200|918|200
4510|MIX|2206|200|4444|200|916|200

// Rideables
1758|MIX|1740|1|1052|1|1748|20
1018|MIX|592|1|282|20|1052|1
1978|MIX|1018|1|1052|1|260|20
5012|MIX|4180|1|4338|20|5014|20
5022|MIX|5018|1|898|2|4538|1

// Consummables
950|MIX|956|4|874|1|868|1
956|MIX|880|4|874|1|954|1
958|MIX|954|2|196|6|956|2
960|MIX|712|1|956|4|664|1
964|MIX|956|3|962|1|664|1
966|MIX|676|2|956|3|954|2
968|MIX|950|2|664|1|866|2
3474|MIX|3472|10|3468|3|846|1
3816|MIX|3472|10|874|3|846|1
3600|MIX|880|2|3468|3|664|1
4410|MIX|3472|2|880|2|822|1
3546|MIX|3468|2|880|3|3428|1
5934|MIX|5946|3|5944|10|1962|200
5936|MIX|5946|5|5944|15|2038|1
5938|MIX|5946|5|5944|20|922|50
5940|MIX|5946|5|5944|15|2206|150
5942|MIX|5946|10|5944|15|4444|30

// Forged Items
3300|MIX|3304|1|1730|2|3306|4
3630|MIX|3692|1|3688|4|3628|1
3162|MIX|3198|1|3190|2|3188|2
3160|MIX|3192|1|3190|1|3188|1
3588|MIX|3248|2|3246|2|3614|2
4536|MIX|4544|1|4412|1|4444|20
4332|MIX|910|1|4336|1|4338|200
5276|MIX|5284|1|3248|1|3246|2
5418|MIX|5440|2|3248|1|3244|2

// Artifact Materials
5060|MIX|5028|20|5026|5|2274|1
5054|MIX|5024|20|5028|5|2274|1
5058|MIX|5030|20|5024|5|2274|1
5056|MIX|5026|20|5030|5|2274|1
7184|MIX|5028|20|5030|5|2274|1

5050|MIX|5028|20|5026|5|2492|1
