// Door [R2] = Dirt Seed + Cave Background Seed
12|3|15

// Grass [R2] = Dirt Seed + Rock Seed
16|3|11

// Sign [R2] = Cave Background Seed + Rock Seed
20|15|11

// Daisy [R3] = Grass Seed + Dirt Seed
22|17|3

// Pointy Sign [R4] = Door Seed + Sign Seed
24|13|21

// Crappy Sign [R3] = Door Seed + Dirt Seed
26|13|3

// Danger Sign [R5] = Lava Seed + Pointy Sign Seed
28|5|25

// Dungeon Door [R8] = Door Seed + Window Seed
30|13|55

// Shades [R6] = Black Block Seed + Glass Pane Seed
34|167|57

// Green Shirt [R7] = Grass Seed + Green Block Seed
36|17|177

// Tuxedo [R7] = Grey Block Seed + Rose Seed
38|165|191

// Brown Shoes [R5] = Cave Background Seed + Brown Block Seed
40|15|185

// Boots [R5] = Rock Seed + Black Block Seed
42|11|167

// Red Hair [R6] = Grass Seed + Red Block Seed
44|17|171

// Baseball Cap [R13] = Bush Seed + Wooden Platform Seed
46|193|103

// Jeans [R6] = Aqua Block Seed + Rock Seed
48|179|11

// Sexy Boxers [R18] = Polka Dot Block Seed + Rose Seed
50|283|191

// Wooden Background [R4] = Grass Seed + Door Seed
52|17|13

// Window [R6] = Glass Pane Seed + Wooden Background Seed
54|57|53

// Glass Pane [R2] = Rock Seed + Lava Seed
56|11|5

// Wooden Window [R10] = Window Seed + Wooden Background Seed
58|55|53

// Portcullis [R16] = Dungeon Door Seed + Death Spikes Seed
60|31|163

// Boombox [R39] = Steel Block Seed + Black Block Seed
62|187|167

// Olde Timey Radio [R15] = Toilet Seed + Dungeon Door Seed
64|107|31

// Top Hat [R7] = Black Block Seed + Mushroom Seed
66|167|195

// Brown Hair [R5] = Dirt Seed + Brown Block Seed
68|3|185

// Spikey Hair [R14] = Death Spikes Seed + Yellow Block Seed
70|163|175

// Afro [R13] = Bush Seed + Black Block Seed
72|193|167

// Ski Cap [R18] = Blue Block Seed + Mushroom Seed
74|181|195

// Black Pants [R6] = Door Seed + Black Block Seed
76|13|167

// Patent Leather Shoes [R11] = Brick Background Seed + Grey Block Seed
78|119|165

// Ruby Slippers [R49] = Red Block Seed + Disco Ball Seed
80|171|115

// Green Skirt [R11] = Poppy Seed + Green Block Seed
82|189|177

// Green Blouse [R14] = Bush Seed + Green Block Seed
84|193|177

// Purple Thong [R24] = Purple Block Seed + Danger Sign Seed
86|183|29

// Purple Bikini Top [R22] = Purple Block Seed + Rose Seed
88|183|191

// Blonde Bombshell [R8] = Yellow Block Seed + Grass Seed
90|175|17

// Briefcase [R14] = Brown Block Seed + Stripey Wallpaper Seed
92|185|201

// Sword [R11] = Death Spikes Seed + Rock Background Seed
94|163|105

// Just One Boxing Glove [R16] = Red Block Seed + Blueberry Seed
96|171|197

// Pickaxe [R17] = Portcullis Seed + Cave Background Seed
98|61|15

// Wood Block [R2] = Dirt Seed + Lava Seed
100|3|5

// Wooden Platform [R4] = Wood Block Seed + Grass Seed
102|101|17

// Rock Background [R3] = Rock Seed + Door Seed
104|11|13

// Toilet [R7] = Crappy Sign Seed + Brown Block Seed
106|27|185

// Painting: Yerfdog [R10] = Wooden Background Seed + White Block Seed
108|53|169

// Painting: Dink Duck [R10] = Yellow Block Seed + Wooden Background Seed
110|175|53

// Disco Ball [R45] = Window Seed + Boombox Seed
114|55|63

// Bricks [R3] = Rock Seed + Grass Seed
116|11|17

// Brick Background [R7] = Bricks Seed + Black Block Seed
118|117|167

// Mystery Block [R80] = Steel Block Seed + Disco Ball Seed
120|187|115

// Red Riding Hood [R7] = Red Block Seed + Mushroom Seed
122|171|195

// Red Coat [R13] = Red Block Seed + Bush Seed
124|171|193

// Devil Horns [R9] = Lava Seed + Death Spikes Seed
126|5|163

// Golden Halo [R51] = Yellow Block Seed + Disco Ball Seed
128|175|115

// Hot Head [R5] = Lava Seed + Red Block Seed
130|5|171

// Brainwave Capacitor [R21] = Olde Timey Radio Seed + Yellow Block Seed
132|65|175

// TV Head [R17] = Olde Timey Radio Seed + Wood Block Seed
134|65|101

// Fairy Crown [R47] = Grass Seed + Disco Ball Seed
136|17|115

// Cyclopean Visor [R10] = Window Seed + Red Block Seed
138|55|171

// Biker Stache [R6] = Brown Block Seed + Grass Seed
140|185|17

// Shallot Mustache [R5] = Mushroom Seed + Grass Seed
142|195|17

// X-Ray Specs [R8] = Glass Pane Seed + White Block Seed
144|57|169

// Gold-Rimmed Glasses [R12] = Yellow Block Seed + Window Seed
146|175|55

// Big Glasses [R16] = Window Seed + Wooden Window Seed
148|55|59

// Fairy Dress [R50] = Aqua Block Seed + Disco Ball Seed
150|179|115

// Fairy Skirt [R48] = Daisy Seed + Disco Ball Seed
152|23|115

// Fairy Slippers [R51] = Poppy Seed + Disco Ball Seed
154|189|115

// Fairy Wings [R52] = Flowery Wallpaper Seed + Disco Ball Seed
156|199|115

// Fairy Wand [R47] = Wood Block Seed + Disco Ball Seed
158|101|115

// Jetpack [R36] = Lava Seed + Steel Block Seed
160|5|187

// Death Spikes [R8] = Danger Sign Seed + Rock Background Seed
162|29|105

// Grey Block [R4] = Bricks Seed + Rock Seed
164|117|11

// Black Block [R4] = Bricks Seed + Cave Background Seed
